Codigo,Nombre,Programa,Area,Semestre,Columna,HorasTeoria,HorasPractica,Creditos
MA0101,Matemática General,Electromecánica,Básicas,1,1,5,0,2
FI1101,Física General I,Electromecánica,Básicas,1,2,4,0,3
FI2201,Laboratorio de Física General I,Electromecánica,Básicas,1,3,0,2,1
QU1106,Química Básica I,Electromecánica,Básicas,1,4,4,0,3
QU1102,Laboratorio de Química Básica I,Electromecánica,Básicas,1,5,0,2,1
CI1230,Inglés I,Electromecánica,Básicas,1,6,3,0,2
IEM2101,Dibujo Técnico,Electromecánica,Mecánica,1,7,4,0,3
CS1502,Introducción a la Técnica Ciencia y Tecnología,Electromecánica,Básicas,1,8,2,0,1
CI1106,Comunicación Escrita,Electromecánica,Básicas,1,9,3,0,2
MA1102,Cálculo Diferencial e Integral,Electromecánica,Básicas,2,1,5,0,4
FI1102,Física General II,Electromecánica,Básicas,2,2,4,0,3
FI1202,Laboratorio de Física General II,Electromecánica,Básicas,2,3,0,2,1
CA21XX,Introducción a la computación,Electromecánica,Básicas,2,5,4,0,3
CI1231,Inglés II,Electromecánica,Básicas,2,6,3,0,2
ME2208,Ciencia e Ing Materiales,Electromecánica,Básicas,2,7,3,1,3
CS2303,Relaciones laborales,Electromecánica,Básicas,2,8,3,0,2
SE1200,Actividad deportiva I,Electromecánica,Básicas,2,9,0,2,0
MA1103,Cálculo y Alg. Lineal,Electromecánica,Básicas,3,1,4,0,4
FI2103,Física Gral III,Electromecánica,Básicas,3,2,4,0,3
IEM2201,Análisis de Circuitos 1,Electromecánica,Eléctrica,3,3,4,0,3
IEM2251,Laboratorio de Análisis de Circuitos 1,Electromecánica,Eléctrica,3,4,0,2,1
IEM2301,Transductores,Electromecánica,Sistemas,3,5,2,0,2
IEM2102,Estática,Electromecánica,Mecánica,3,7,4,0,3
CS4402,Sem. Est. Costarr.,Electromecánica,Básicas,3,8,3,0,2
SE1100,Actividad cultural I,Electromecánica,Básicas,3,9,2,0,0
MA2105,Ec. Diferenciales,Electromecánica,Básicas,4,1,4,0,4
MT6001,Prob y Proc. Estocásticos,Electromecánica,Básicas,4,2,3,0,2
